shelfmark,aggregate_score,signal_count,signals,non_bibliographic_hits,detail_url,viewer_url,best_snippet
Ott.lat.2849,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ott.lat.2849,https://digi.vatlib.it/view/MSS_Ott.lat.2849,"1) 79v-80v: Petrarca, Francesco, 1304-1374 Epistula ad Iohannem de Columna, podagram familiarem esse divitibus. X Kal. Iulias."
Ott.lat.2885,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ott.lat.2885,https://digi.vatlib.it/view/MSS_Ott.lat.2885,"1) 1r-55v: Iuvenalis, Decimus Iunius, sec. I-II Satirae lib. III-V"
Pal.lat.430,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.430,https://digi.vatlib.it/view/MSS_Pal.lat.430,"1) 41r-42v: Augustinus, s., vesc. d'Ippona, 354-430 In Iohannis Evangelium tractatus 51 2) 125r-v: Augustinus, s., vesc. d'Ippona, 354-430 Sermo 93"
Pal.lat.634,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.634,https://digi.vatlib.it/view/MSS_Pal.lat.634,1) 4r-221v: Papi (1227-1241 : Gregorius IX) Decretales Gregorii IX (lib. I-V) cum glossa ordinaria Bernardi Parmensis de Botone.
Pal.lat.638,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.638,https://digi.vatlib.it/view/MSS_Pal.lat.638,1) 2r-80v: Papi (1294-1303 : Bonifacius VIII) Decretales Bonifacii VIII.
Pal.lat.762,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.762,https://digi.vatlib.it/view/MSS_Pal.lat.762,"1) 225r-v: Accursius, Franciscus, padre, c. 1182-1263 Glossa ordinaria ad Codicem Iust[iniani] 6,11,2 - 6,20,1 a ver[bo] l. [Doceri potest] usque ad ver[bum] l. Non oportere"
Pal.lat.888,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.888,https://digi.vatlib.it/view/MSS_Pal.lat.888,1) 50r: Fragmentum orationis cuiusdam in qua mentio fit de Marco Dandolo praetore et Laurentio Bragadino praeside.
Pal.lat.1464,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1464,https://digi.vatlib.it/view/MSS_Pal.lat.1464,1) 168r: De nominibus patronymicis pauca.
Pal.lat.1465,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1465,https://digi.vatlib.it/view/MSS_Pal.lat.1465,"1) 199r-200v: Cicero, Marcus Tullius, 106-43 a.C. Partitiones oratoriae."
Pal.lat.1476,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1476,https://digi.vatlib.it/view/MSS_Pal.lat.1476,"1) 95r-101r: Cicero, Marcus Tullius, 106-43 a.C. Pro Caelio oratio."
Pal.lat.1478,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1478,https://digi.vatlib.it/view/MSS_Pal.lat.1478,"1) 72v-79v: Cicero, Marcus Tullius, 106-43 a.C. Pro Caelio oratio."
Pal.lat.1480,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1480,https://digi.vatlib.it/view/MSS_Pal.lat.1480,"1) 82r-94v: Cicero, Marcus Tullius, 106-43 a.C. Pro Caelio oratio."
Pal.lat.1482,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1482,https://digi.vatlib.it/view/MSS_Pal.lat.1482,"1) 181r-191v: Cicero, Marcus Tullius, 106-43 a.C. Pro Caelio oratio."
Pal.lat.1485,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1485,https://digi.vatlib.it/view/MSS_Pal.lat.1485,"1) 46v-50r: Cicero, Marcus Tullius, 106-43 a.C. Pro Cluentio Habito oratio."
Pal.lat.1488,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1488,https://digi.vatlib.it/view/MSS_Pal.lat.1488,1) 107v(2): Sonetto incompleto di anonimo.
Pal.lat.1490,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1490,https://digi.vatlib.it/view/MSS_Pal.lat.1490,"1) 102r-108v: Cicero, Marcus Tullius, 106-43 a.C. Pro Cornelio Sulla oratio."
Pal.lat.1493,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1493,https://digi.vatlib.it/view/MSS_Pal.lat.1493,"1) 35r-41r: Cicero, Marcus Tullius, 106-43 a.C. Post reditum oratio I. <In senatu>"
Pal.lat.1513,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1513,https://digi.vatlib.it/view/MSS_Pal.lat.1513,"1) 1v-44r: Cicero, Marcus Tullius, 106-43 a.C. De finibus bonorum et malorum"
Pal.lat.1517,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1517,https://digi.vatlib.it/view/MSS_Pal.lat.1517,"1) 96r-195v: Cicero, Marcus Tullius, 106-43 a.C. Cato Maior de senectute."
Pal.lat.1521,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1521,https://digi.vatlib.it/view/MSS_Pal.lat.1521,"1) 1r-34r: Cicero, Marcus Tullius, 106-43 a.C. De legibus."
Pal.lat.1525,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1525,https://digi.vatlib.it/view/MSS_Pal.lat.1525,"1) 319v-323r: Cicero, Marcus Tullius, 106-43 a.C. Pro Cornelio Sulla oratio."
Pal.lat.1820,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Pal.lat.1820,https://digi.vatlib.it/view/MSS_Pal.lat.1820,"1) 68r-70v: Cicero, Marcus Tullius, 106-43 a.C. Pro rege Deiotaro oratio."
Reg.lat.262,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.262,https://digi.vatlib.it/view/MSS_Reg.lat.262,"1) 110r-115v: Anselmus, s., arciv. di Canterbury, 1033-1109 Sermo ad Cluniancenses de quattuordecim beatitudinibus."
Reg.lat.282,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.282,https://digi.vatlib.it/view/MSS_Reg.lat.282,"1) 13av-14v: Prosper Aquitanus, s., c. 390-463. Opere spurie e dubbie Poema coniugis ad uxorem (Prosper Aquitanus, s., c. 390-463. Opere spurie e dubbie)"
Reg.lat.285,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.285,https://digi.vatlib.it/view/MSS_Reg.lat.285,"1) 24v-26v: Anselmus, s., arciv. di Canterbury, 1033-1109 Sermo ad Cluniancenses de quattuordecim beatitudinibus"
Reg.lat.286,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.286,https://digi.vatlib.it/view/MSS_Reg.lat.286,"1) 71v-91v: Augustinus, s., vesc. d'Ippona, 354-430 Quaestiones Evangeliorum (Augustinus, s., vesc. d'Ippona, 354-430). 1-2"
Reg.lat.318,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.318,https://digi.vatlib.it/view/MSS_Reg.lat.318,"1) 51v-79v: Augustinus, s., vesc. d'Ippona, 354-430 De nuptiis et concupiscentia (Augustinus, s., vesc. d'Ippona, 354-430)"
Reg.lat.336,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.336,https://digi.vatlib.it/view/MSS_Reg.lat.336,1) 83rB(1): Quod ydolum nichil est
Reg.lat.337,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.337,https://digi.vatlib.it/view/MSS_Reg.lat.337,1) 245r-253v: Benedictiones episcopales
Reg.lat.423,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.423,https://digi.vatlib.it/view/MSS_Reg.lat.423,"1) 64v: Damianus, vesc. di Pavia, m. 708 Epistula ad Constantinum imperatorem (Damianus, vesc. di Pavia, m. 708)"
Reg.lat.481,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.481,https://digi.vatlib.it/view/MSS_Reg.lat.481,"1) 55v: Anselmus Laudunensis, c. 1050-1117 Epistula ad Heribrandum abb. S. Laurentii Leodiensis."
Reg.lat.485,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.485,https://digi.vatlib.it/view/MSS_Reg.lat.485,1) 581rA-585vB: De prima mundi fabrica. Et primo de montibus orbem circonstantibus seu circundantibus
Reg.lat.618,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.618,https://digi.vatlib.it/view/MSS_Reg.lat.618,"1) 105r-144v: Adamnanus de Iona, s., c. 624-704 De locis sanctis lib. I-III, c. IV"
Reg.lat.755,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.755,https://digi.vatlib.it/view/MSS_Reg.lat.755,"1) 88r-92v: Beda Venerabilis, s., 673-735 Incipit liber Bedae presbyteri De natura rerum"
Reg.lat.778,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.778,https://digi.vatlib.it/view/MSS_Reg.lat.778,"1) 1r-72v: Bazoches, Gui de, sac., f. 1190-1203 Chronosgraphia"
Reg.lat.832,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.832,https://digi.vatlib.it/view/MSS_Reg.lat.832,"1) Gaius Iulius Caesar, De bello Gallico. sec. XV"
Reg.lat.932,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.932,https://digi.vatlib.it/view/MSS_Reg.lat.932,"1) 55r-116v: Martinus Oppaviensis, O.P., m. 1279 Chronicon pontificum et imperatorum (Martinus Oppaviensis, O.P., m. 1279)"
Reg.lat.974,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.974,https://digi.vatlib.it/view/MSS_Reg.lat.974,1) 38v-187v: Benedictus Levita Capitularia (Benedictus Levita)
Reg.lat.983,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.983,https://digi.vatlib.it/view/MSS_Reg.lat.983,"1) 99r-101v: Iulianus Augustus, Flavius Claudius, imperatore romano, 332-362 Misopogon vel Antiochicus"
Reg.lat.1025,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1025,https://digi.vatlib.it/view/MSS_Reg.lat.1025,1) 209rB-211v: Passio sancti Piati martyris.
Reg.lat.1050,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1050,https://digi.vatlib.it/view/MSS_Reg.lat.1050,"1) 134r-139v: Lex Alamannorum, cc.1-39. 2) 140r-147v: Lex Salica emendata, tit. I-XXXVIII."
Reg.lat.1061,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1061,https://digi.vatlib.it/view/MSS_Reg.lat.1061,1) 1r-48v: Glossae in ius canonicum.
Reg.lat.1106,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1106,https://digi.vatlib.it/view/MSS_Reg.lat.1106,"1) Bartholomaeus de Ripa Romea, De coloribus et virtutibis lapidum. sec. XIV"
Reg.lat.1196,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1196,https://digi.vatlib.it/view/MSS_Reg.lat.1196,"1) 11r-40v: Iohannes Affligemensis, f. 1100 Epistola Ioannis ad Fulgentium episcopum de musica."
Reg.lat.1207,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1207,https://digi.vatlib.it/view/MSS_Reg.lat.1207,"1) 1r-104r: Hyginus Mythographus, c. sec. I Astronomicon."
Reg.lat.1405,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1405,https://digi.vatlib.it/view/MSS_Reg.lat.1405,"1) Gilbertus Scholasticus et Monachus Floriacensis, Arithmetica; Somnium Scipionis; Cicero, Topica; Beda, De natura rerum et temporibus. sec. XI"
Reg.lat.1504,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1504,https://digi.vatlib.it/view/MSS_Reg.lat.1504,"1) 111v-122v: Cetius Faventinus, Marcus, sec. III-IV De diversis fabricis architectonicae"
Reg.lat.1538,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1538,https://digi.vatlib.it/view/MSS_Reg.lat.1538,"1) 1r-39v: Priscianus Caesariensis, sec. V-VI Prisciani liber XVII"
Reg.lat.1546,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1546,https://digi.vatlib.it/view/MSS_Reg.lat.1546,1) 63v-70v: Pseudo Pindari Theb. Iliados epitome
Reg.lat.1547,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Reg.lat.1547,https://digi.vatlib.it/view/MSS_Reg.lat.1547,1) 62ar-108v: Rhetorica ad Herennium
