shelfmark,term,signal_weight,section,snippet,detail_url,viewer_url,score
Barb.gr.69,fragmentum,7.0,General Data,"1) 5r-7v: Heron Alexandrinus, sec. II a.C./II Initium cap. XX Heronis Alexandrini automatorum, Eutocii fragmentum commentarii in Archimedis libellum de dimensione circuli.",https://digi.vatlib.it/mss/detail/Barb.gr.69,https://digi.vatlib.it/view/MSS_Barb.gr.69,8.5
Barb.gr.78,fragmentum,7.0,General Data,"1) 54r-66v: Plato, 427-347 a.C. Πλάτωνος φράσεις.",https://digi.vatlib.it/mss/detail/Barb.gr.78,https://digi.vatlib.it/view/MSS_Barb.gr.78,8.5
Barb.gr.85,fragmentum,7.0,General Data,"1) 270r-v: Fragmentum de Adami corpore Hierosolymis humato, De Hebraico sermone secundum Origenem, De arcae foederis amplitudine, Scientiarum et artium quarundam inventores. 2) 276r-v: Cassius Dio, c. 155-c. 235 ἐκ τοῦ λζ´ (οῦ supra lineam) τῶν Δίωνος Ῥωμαικῶν· περὶ τοῦ πῶς ἀνετέθησαν αἱ ἑπτὰ ἡμέραι τῆς ἑβδομάδης τοῖς ἑπτὰ πλανήταις. Καὶ τίνες οἱ ἀναθέντες",https://digi.vatlib.it/mss/detail/Barb.gr.85,https://digi.vatlib.it/view/MSS_Barb.gr.85,7.0
Barb.gr.86,fragmentum,7.0,General Data,"1) 339v, l. 15-348v: Fragmentum commentarii in Aristotelis rhetoricae lib. III.",https://digi.vatlib.it/mss/detail/Barb.gr.86,https://digi.vatlib.it/view/MSS_Barb.gr.86,8.5
Barb.gr.90,fragmentum,7.0,General Data,1) 209r-256r: Διονυσίου οἰκουμένης περιήγησις.,https://digi.vatlib.it/mss/detail/Barb.gr.90,https://digi.vatlib.it/view/MSS_Barb.gr.90,8.5
Barb.gr.99,fragmentum,7.0,General Data,"1) 13r-41v: Ammonius Hermeiou, sec. VI Σχολὴ ἐκ τῆς ἐξεγήσεως τοῦ φιλοσόφου Δαυίδ· εἰ τὰ γένη καὶ τὰ εἴδη, πρὸ τῶν πολλῶν εἰσὶ.",https://digi.vatlib.it/mss/detail/Barb.gr.99,https://digi.vatlib.it/view/MSS_Barb.gr.99,8.5
Barb.gr.107,fragmentum,7.0,General Data,"1) p. 151-165: Dionysius Byzantius, sec. II Dicaearchi Messeni descriptio Graeciae ad Theophrastum eiusdem de vita Graeciae fragmentum , Δικαιάρχου Μεσσηνίου τῆς Ἑλλάδος ἀναγραφὴ πρὸς Θεόφραστον, Dicaearchi Messenii Graeciae descriptio ad Theophrastum. Eiusdem fragmenta quaedam, Δικαιάρχου Μεσσηνίου ἀναγραφὴ τῆς Ἑλλάδος πρὸς Θεόφραστον, Dicaearchi Messenii descriptio Graeciae ad Theophrastum. 2) p. 204-209: Dicaearchus Messanius, sec. IV/III a.C. Opere spurie e dubbie <Dicaearchi fragmentum 3>.",https://digi.vatlib.it/mss/detail/Barb.gr.107,https://digi.vatlib.it/view/MSS_Barb.gr.107,7.0
Barb.gr.127,fragmentum,7.0,General Data,"1) 207r-249r: Galenus, Claudius, 129-199 Ἁπλα Γαληνοῦ: περὶ βοτανῶν: κατὰ στοιχεῖον.",https://digi.vatlib.it/mss/detail/Barb.gr.127,https://digi.vatlib.it/view/MSS_Barb.gr.127,8.5
Barb.gr.132,fragmentum,7.0,General Data,"1) 10v-16r: Nicetas Choniates, m. 1216 Τοῦ αὐτοῦ μακαρίτου κυρίου Νικήτα τοῦ Χωνειάτου ἀπὸ τῆς αὐτοῦ ἱστορίας περὶ Κωνσταντινουπόλεως.",https://digi.vatlib.it/mss/detail/Barb.gr.132,https://digi.vatlib.it/view/MSS_Barb.gr.132,8.5
Barb.gr.152,fragmentum,7.0,General Data,"1) sec. XV med vel ex, sec. XVI",https://digi.vatlib.it/mss/detail/Barb.gr.152,https://digi.vatlib.it/view/MSS_Barb.gr.152,8.5
Barb.gr.153,fragmentum,7.0,General Data,1) sec. XV med vel ex,https://digi.vatlib.it/mss/detail/Barb.gr.153,https://digi.vatlib.it/view/MSS_Barb.gr.153,8.5
Barb.gr.154,fragmentum,7.0,General Data,"1) 39r-66v: Gaza, Theodorus, c. 1400-c. 1475 Θεοδώρου γραμματικῆς εἰσαγωγῆς, τῶν εἰς τεσσαρα τὸν πρῶτον (sic). 2) 68r-v: Gaza, Theodorus, c. 1400-c. 1475 πρώτη κλίσις τῶν ἰσοσυλλάβων ὀνομάτων ἀρσενικῶν. 3) 69r-76v: Chrysoloras, Emanuel,‏ 1390-1415 <Manuelis Chrysolorae erotematum> fragmentum . 4) 77r-87r: Chrysoloras, Emanuel,‏ 1390-1415 Grammaticae graecae italico sermone conscriptae fragmentum .",https://digi.vatlib.it/mss/detail/Barb.gr.154,https://digi.vatlib.it/view/MSS_Barb.gr.154,7.0
Barb.gr.158,fragmentum,7.0,General Data,1) sec. XI-XII (ff. 1r-5v sec. XV ex),https://digi.vatlib.it/mss/detail/Barb.gr.158,https://digi.vatlib.it/view/MSS_Barb.gr.158,8.5
Barb.gr.179,fragmentum,7.0,General Data,"1) 22r-v: Plutarchus, c. 50-127 Plutarchi De Iside et Osiride fragmentum",https://digi.vatlib.it/mss/detail/Barb.gr.179,https://digi.vatlib.it/view/MSS_Barb.gr.179,8.5
